sn,fault_time,label,msg_feature,server_model,venus_feature,crashdump_feature
SERVER_25894,2020-04-22 18:04:00,0,"[[2, 242, 4], [271, 8, 4], [572, 95, 4], [5, 8, 4], [572, 95, 9], [5, 8, 9], [271, 8, 9]]",29,"[[0, 0, 0]]","[0, 0]"
SERVER_25830,2020-01-26 16:12:00,0,"[[2, 242, 4], [236, 3, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4]]",29,"[[0, 0, 0]]","[0, 0]"
SERVER_25920,2020-05-10 06:25:00,0,"[[2, 242, 4], [567, 95, 4], [271, 8, 4]]",29,"[[0, 0, 0]]","[0, 0]"
SERVER_7134,2020-11-14 15:34:00,0,"[[377, 23, 4], [220, 151, 4], [236, 3, 4]]",24,"[[2, 3, 4], [12, 14, 10]]","[3, 5]"
SERVER_6611,2020-06-24 18:38:00,0,"[[371, 23, 4], [5, 8, 4], [371, 95, 4]]",24,"[[0, 0, 0]]","[0, 0]"
SERVER_17417,2020-08-05 18:41:00,0,"[[371, 23, 4], [371, 23, 9], [2, 242, 4], [5, 8, 4], [371, 95, 4]]",24,"[[0, 0, 0]]","[0, 0]"
SERVER_26025,2020-04-22 12:23:00,0,"[[645, 596, 9], [645, 596, 4], [2, 242, 4], [236, 3, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4]]",24,"[[0, 0, 0]]","[0, 0]"
SERVER_17074,2020-05-15 19:40:00,0,"[[236, 3, 4]]",24,"[[0, 0, 0]]","[0, 0]"
SERVER_6360,2020-02-27 20:31:00,0,"[[240, 131, 4], [220, 151, 4], [233, 20, 4], [271, 13, 4], [5, 13, 4], [214, 13, 4], [207, 13, 4], [2, 242, 4], [5, 8, 4], [236, 3, 4], [5, 8, 9], [236, 261, 4], [233, 26, 4]]",30,"[[0, 0, 0]]","[0, 0]"
SERVER_26011,2020-05-09 15:56:00,0,"[[373, 23, 4], [240, 131, 4], [220, 151, 4], [233, 20, 4], [271, 13, 4], [5, 13, 4], [207, 13, 4], [214, 13, 4], [2, 242, 4], [5, 8, 4], [259, 132, 4], [236, 3, 4], [265, 255, 4], [236, 261, 4], [233, 26, 4], [5, 8, 9]]",30,"[[0, 0, 0]]","[0, 0]"
SERVER_6123,2020-04-20 03:06:00,0,"[[382, 23, 4], [271, 8, 4], [382, 95, 4], [271, 8, 9], [382, 23, 9], [382, 95, 9], [2, 242, 4]]",30,"[[0, 0, 0]]","[0, 0]"
SERVER_6329,2020-09-27 14:06:00,0,"[[383, 23, 4], [5, 8, 4], [383, 95, 4], [5, 8, 9], [383, 23, 9], [383, 95, 9], [2, 242, 4], [259, 132, 4], [236, 3, 4]]",30,"[[2, 3, 4], [12, 9, 10]]","[0, 0]"
SERVER_6709,2020-10-11 01:43:00,0,"[[233, 26, 4], [236, 261, 4], [233, 20, 4], [2, 242, 4], [482, 95, 4], [236, 3, 4], [368, 349, 4]]",26,"[[0, 0, 0]]","[0, 0]"
SERVER_26058,2020-05-02 15:01:00,0,"[[2, 243, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 36, 4], [271, 36, 4], [282, 189, 4], [268, 189, 4], [733, 125, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26062,2020-05-02 11:48:00,0,"[[2, 242, 4], [233, 26, 4], [233, 20, 4], [2, 243, 4], [220, 152, 4], [733, 125, 9], [5, 36, 9], [271, 36, 9], [268, 189, 9], [282, 189, 9]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26098,2020-06-07 19:13:00,0,"[[5, 6, 4], [271, 6, 4], [5, 6, 9], [5, 36, 4], [271, 36, 4], [271, 6, 9], [5, 8, 4], [233, 20, 4], [233, 26, 4], [5, 8, 9], [271, 36, 9], [5, 36, 9], [2, 243, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26066,2020-08-08 13:39:00,0,"[[2, 242, 4], [271, 13, 4], [5, 13, 4], [207, 13, 4], [214, 13, 4], [5, 36, 4], [271, 36, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26045,2020-03-17 21:12:00,0,"[[5, 132, 4], [5, 6, 4], [271, 132, 4], [271, 6, 4], [5, 132, 9], [5, 36, 4], [5, 6, 9], [271, 36, 4], [271, 6, 9], [271, 132, 9], [733, 125, 4], [738, 125, 4], [738, 125, 9], [733, 125, 9], [233, 20, 4], [233, 26, 4], [271, 36, 9], [5, 36, 9], [2, 243, 4], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26048,2020-06-02 19:59:00,0,"[[5, 6, 4], [271, 6, 4], [5, 6, 9], [5, 36, 4], [271, 6, 9], [271, 36, 4], [5, 8, 4], [2, 242, 4], [233, 26, 4], [233, 20, 4], [5, 36, 9], [271, 36, 9], [5, 8, 9]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26073,2020-06-18 13:12:00,0,"[[271, 132, 4], [271, 6, 4], [5, 132, 4], [5, 6, 4], [5, 8, 4], [5, 132, 9], [271, 36, 4], [5, 6, 9], [5, 36, 4], [271, 6, 9], [271, 132, 9], [233, 26, 4], [233, 20, 4], [271, 36, 9], [5, 36, 9], [5, 8, 9], [2, 243, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26027,2020-01-29 22:19:00,0,"[[733, 125, 9], [2, 242, 4], [733, 125, 4], [271, 36, 4], [5, 36, 4], [282, 189, 4], [268, 189, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26029,2020-01-29 17:25:00,0,"[[733, 125, 9], [2, 242, 4], [733, 125, 4], [5, 36, 4], [271, 36, 4], [282, 189, 4], [268, 189, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26043,2020-04-18 03:55:00,0,"[[233, 20, 4], [2, 242, 4], [233, 26, 4], [2, 243, 4], [5, 36, 4], [271, 36, 4], [268, 189, 4], [282, 189, 4], [733, 125, 4], [733, 125, 9], [271, 36, 9], [5, 36, 9], [268, 189, 9], [282, 189, 9]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26044,2020-03-17 21:11:00,0,"[[271, 132, 4], [271, 6, 4], [5, 132, 4], [5, 6, 4], [5, 8, 4], [5, 36, 4], [5, 6, 9], [271, 132, 9], [5, 132, 9], [271, 36, 4], [271, 6, 9], [733, 125, 4], [738, 125, 4], [738, 125, 9], [733, 125, 9], [233, 26, 4], [233, 20, 4], [5, 8, 9], [5, 36, 9], [271, 36, 9], [2, 243, 4], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26056,2020-06-17 16:22:00,0,"[[5, 6, 4], [271, 6, 4], [271, 6, 9], [271, 36, 4], [5, 6, 9], [5, 36, 4], [5, 8, 4], [733, 125, 4], [733, 125, 9], [233, 20, 4], [233, 26, 4], [5, 8, 9], [271, 36, 9], [5, 36, 9], [2, 243, 4], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26084,2020-07-09 14:55:00,0,"[[271, 6, 4], [5, 6, 4], [5, 132, 4], [271, 132, 4], [5, 8, 4], [5, 36, 4], [271, 36, 4], [271, 132, 9], [271, 6, 9], [5, 6, 9], [5, 132, 9], [233, 20, 4], [233, 26, 4], [5, 8, 9], [5, 36, 9], [271, 36, 9], [2, 243, 4], [271, 8, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26099,2020-07-09 17:33:00,0,"[[5, 6, 4], [271, 6, 4], [5, 8, 4], [2, 243, 4], [233, 26, 4], [233, 20, 4], [5, 8, 9], [271, 6, 9], [5, 6, 9], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26035,2020-01-20 12:20:00,0,"[[205, 8, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26094,2020-07-09 17:22:00,0,"[[5, 6, 4], [271, 6, 4], [5, 36, 4], [271, 36, 4], [5, 6, 9], [271, 6, 9], [233, 26, 4], [233, 20, 4], [271, 36, 9], [5, 36, 9], [2, 243, 4], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26070,2020-07-06 22:03:00,0,"[[5, 132, 4], [5, 6, 4], [271, 6, 4], [271, 132, 4], [5, 8, 4], [5, 36, 4], [271, 36, 4], [5, 132, 9], [5, 6, 9], [271, 6, 9], [271, 132, 9], [5, 36, 9], [233, 26, 4], [5, 8, 9], [233, 20, 4], [271, 36, 9], [2, 243, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26036,2020-09-14 01:04:00,0,"[[207, 13, 4], [214, 13, 4], [271, 13, 4], [271, 36, 4], [5, 36, 4], [5, 13, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26100,2020-06-18 12:35:00,0,"[[5, 6, 4], [271, 6, 4], [5, 8, 4], [2, 243, 4], [233, 26, 4], [233, 20, 4], [5, 6, 9], [5, 8, 9], [271, 6, 9], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26096,2020-06-18 02:04:00,0,"[[5, 6, 4], [271, 6, 4], [271, 8, 4], [271, 36, 4], [271, 6, 9], [5, 6, 9], [5, 36, 4], [5, 8, 4], [733, 125, 4], [733, 125, 9], [233, 26, 4], [233, 20, 4], [5, 36, 9], [5, 8, 9], [271, 8, 9], [271, 36, 9], [2, 243, 4], [2, 242, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26028,2020-01-09 13:10:00,0,"[[733, 743, 4], [5, 13, 4], [271, 13, 4], [207, 13, 4], [214, 13, 4], [733, 125, 4], [233, 26, 4], [233, 20, 4], [733, 125, 9], [2, 242, 4], [271, 36, 4], [5, 36, 4], [268, 189, 4], [282, 189, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_6946,2020-08-02 16:23:00,0,"[[271, 36, 4], [5, 36, 4], [268, 189, 4], [282, 189, 4], [738, 125, 4], [733, 125, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26073,2020-03-17 17:41:00,0,"[[5, 8, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26070,2020-03-17 15:05:00,0,"[[5, 8, 4]]",34,"[[0, 0, 0]]","[0, 0]"
SERVER_26031,2020-03-26 22:23:00,0,"[[748, 183, 4], [384, 172, 4], [5, 6, 4], [745, 8, 4], [5, 8, 4], [5, 36, 4], [233, 26, 4], [233, 20, 4], [5, 6, 9], [5, 8, 9], [5, 36, 9], [745, 8, 9], [2, 242, 4]]",36,"[[0, 0, 0]]","[0, 0]"
SERVER_26209,2020-09-25 14:29:00,0,"[[233, 20, 4], [233, 26, 4], [2, 242, 4], [5, 36, 4], [271, 36, 4], [5, 36, 9], [271, 36, 9], [268, 189, 4], [282, 189, 4], [733, 125, 4], [738, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26197,2020-08-21 15:13:00,0,"[[233, 20, 4], [2, 242, 4], [233, 26, 4], [5, 36, 4], [271, 6, 4], [271, 36, 4], [5, 6, 4], [5, 8, 4], [5, 6, 9], [5, 36, 9], [5, 163, 4], [275, 49, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26127,2020-08-26 04:42:00,0,"[[5, 6, 4], [5, 13, 4], [271, 13, 4], [271, 6, 4], [207, 13, 4], [214, 13, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_17614,2020-10-03 14:51:00,0,"[[2, 243, 4], [271, 13, 4], [5, 13, 4], [207, 13, 4], [214, 13, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [271, 36, 4], [271, 8, 4], [5, 36, 4], [271, 6, 4], [5, 6, 9], [5, 36, 9], [271, 6, 9], [271, 36, 9], [5, 8, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26877,2020-10-15 12:43:00,0,"[[271, 6, 4], [5, 6, 4], [271, 36, 4], [271, 8, 4], [5, 36, 4], [5, 36, 9], [271, 36, 9], [271, 6, 9], [5, 6, 9], [5, 8, 4], [2, 242, 4], [2, 243, 4], [233, 26, 4], [5, 8, 9], [233, 20, 4], [271, 8, 9]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26875,2020-10-14 07:33:00,0,"[[5, 8, 4], [2, 242, 4], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26863,2020-08-30 21:20:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [271, 6, 4], [271, 36, 4], [5, 6, 4], [5, 36, 4], [271, 8, 4], [5, 6, 9], [271, 36, 9], [271, 6, 9], [5, 36, 9], [5, 8, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26206,2020-09-25 14:27:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 36, 4], [271, 36, 4], [271, 36, 9], [5, 36, 9], [268, 189, 4], [282, 189, 4], [733, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26215,2020-11-18 11:12:00,0,"[[752, 6, 4], [271, 6, 4], [5, 6, 4], [271, 8, 4], [5, 6, 9], [271, 6, 9], [752, 6, 9], [5, 8, 4], [752, 8, 4], [2, 242, 4], [2, 243, 4], [233, 26, 4]]",39,"[[77, 98, 51], [71, 98, 51]]","[0, 0]"
SERVER_26180,2020-08-16 20:46:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 36, 4], [5, 6, 4], [271, 36, 4], [271, 6, 4], [271, 8, 4], [5, 8, 4], [5, 36, 9], [271, 36, 9], [5, 6, 9], [271, 6, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_7330,2020-10-18 01:22:00,0,"[[753, 23, 4], [753, 95, 4], [753, 23, 9], [753, 95, 9], [5, 8, 4], [2, 242, 4], [384, 172, 4], [384, 172, 9]]",39,"[[2, 3, 4]]","[0, 0]"
SERVER_26864,2020-08-30 21:15:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [5, 36, 4], [5, 8, 4], [271, 36, 4], [271, 6, 4], [271, 6, 9], [5, 6, 9], [5, 36, 9], [271, 36, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26194,2020-10-03 13:51:00,0,"[[5, 6, 4], [271, 6, 4], [5, 8, 4], [271, 6, 9], [5, 6, 9], [2, 242, 4], [2, 243, 4], [233, 26, 4], [233, 20, 4], [5, 8, 9]]",39,"[[71, 98, 51]]","[0, 0]"
SERVER_26203,2020-09-25 14:29:00,0,"[[233, 20, 4], [233, 26, 4], [2, 242, 4], [5, 36, 4], [5, 36, 9], [282, 189, 4], [268, 189, 4], [733, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26208,2020-09-25 14:27:00,0,"[[233, 20, 4], [233, 26, 4], [2, 242, 4], [5, 36, 4], [271, 36, 4], [271, 36, 9], [5, 36, 9], [282, 189, 4], [268, 189, 4], [733, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26883,2020-09-28 21:12:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 36, 4], [5, 6, 4], [271, 132, 4], [271, 6, 4], [271, 36, 4], [5, 132, 4], [5, 8, 4], [271, 132, 9], [271, 6, 9], [5, 36, 9], [5, 132, 9], [5, 6, 9], [271, 36, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26207,2020-09-25 14:28:00,0,"[[233, 20, 4], [233, 26, 4], [2, 242, 4], [271, 36, 4], [5, 36, 4], [5, 36, 9], [271, 36, 9], [268, 189, 4], [282, 189, 4], [733, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26889,2020-11-13 22:09:00,0,"[[5, 36, 4], [271, 6, 4], [271, 132, 4], [5, 6, 4], [5, 132, 4], [271, 36, 4], [5, 8, 4], [5, 36, 9], [5, 6, 9], [271, 36, 9], [5, 132, 9], [271, 132, 9], [271, 6, 9], [2, 242, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26155,2020-07-31 11:34:00,0,"[[5, 8, 4], [271, 6, 4], [5, 6, 4], [2, 242, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26881,2020-09-25 17:04:00,0,"[[271, 132, 4], [5, 132, 4], [5, 6, 4], [271, 6, 4], [5, 8, 4], [5, 6, 9], [271, 6, 9], [5, 36, 4], [271, 132, 9], [5, 132, 9], [5, 36, 9], [268, 189, 4], [282, 189, 4], [733, 125, 4], [738, 125, 4]]",39,"[[49, 105, 106]]","[0, 0]"
SERVER_26192,2020-11-21 11:19:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [271, 6, 4], [271, 6, 9], [5, 36, 4], [5, 6, 9], [271, 36, 4], [5, 36, 9], [271, 36, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_7278,2020-11-11 13:51:00,0,"[[207, 13, 4], [207, 156, 4], [207, 42, 4], [214, 13, 4], [233, 20, 4], [222, 22, 4], [271, 13, 4], [5, 13, 4], [2, 243, 4], [5, 132, 4], [271, 6, 4], [271, 132, 4], [5, 6, 4], [271, 8, 4], [5, 6, 9], [271, 132, 9], [5, 132, 9], [271, 6, 9], [5, 8, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26179,2020-08-13 16:57:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [5, 36, 4], [5, 132, 4], [271, 36, 4], [271, 132, 4], [271, 6, 4], [271, 8, 4], [5, 6, 9], [5, 132, 9], [271, 132, 9], [271, 36, 9], [5, 36, 9], [271, 6, 9], [5, 8, 4], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26170,2020-10-15 17:49:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [271, 6, 4], [5, 8, 4], [271, 8, 4], [5, 6, 9], [271, 6, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26170,2020-11-21 11:23:00,0,"[[233, 26, 4], [233, 20, 4], [5, 8, 9], [2, 242, 4], [271, 6, 4], [5, 6, 4], [5, 8, 4], [271, 6, 9], [5, 6, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26158,2020-08-28 07:21:00,0,"[[5, 6, 4], [271, 6, 4], [271, 6, 9], [5, 6, 9], [5, 8, 4], [733, 125, 4], [2, 242, 4], [733, 125, 9], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26857,2020-11-22 15:53:00,0,"[[5, 6, 4], [271, 6, 4], [271, 36, 4], [271, 6, 9], [5, 36, 4], [5, 6, 9], [736, 737, 4], [736, 737, 9], [757, 20, 4], [233, 26, 4], [233, 20, 4], [757, 26, 4], [271, 36, 9], [5, 36, 9], [758, 243, 4], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26867,2020-10-13 18:51:00,0,"[[233, 20, 4], [2, 242, 4], [271, 6, 4], [5, 132, 4], [5, 6, 4], [271, 132, 4], [5, 8, 4], [2, 243, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26861,2020-09-24 17:36:00,0,"[[5, 36, 4], [271, 36, 4], [271, 36, 9], [5, 36, 9], [268, 189, 4], [282, 189, 4], [733, 125, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26159,2020-08-06 15:27:00,0,"[[5, 8, 4], [271, 6, 4], [5, 6, 4], [2, 242, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26172,2020-08-20 01:13:00,0,"[[738, 125, 4], [733, 125, 4], [738, 125, 9], [733, 125, 9], [5, 132, 4], [271, 6, 4], [5, 6, 4], [271, 132, 4], [271, 36, 4], [5, 36, 4], [5, 132, 9], [5, 6, 9], [271, 6, 9], [271, 132, 9]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26170,2020-08-21 00:06:00,0,"[[233, 20, 4], [2, 242, 4], [233, 26, 4]]",39,"[[0, 0, 0]]","[0, 0]"
SERVER_26137,2020-08-21 16:42:00,0,"[[2, 243, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [738, 125, 4], [733, 125, 4], [733, 125, 9], [738, 125, 9], [271, 6, 4], [5, 132, 4], [271, 132, 4], [5, 6, 4], [5, 6, 9], [5, 132, 9], [271, 132, 9], [271, 6, 9], [5, 8, 4], [5, 8, 9]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26141,2020-08-21 16:43:00,0,"[[2, 243, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [733, 125, 4], [733, 125, 9], [5, 6, 4], [271, 6, 4], [5, 8, 4], [5, 6, 9], [271, 6, 9], [5, 8, 9]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26200,2020-10-08 20:31:00,0,"[[271, 6, 4], [5, 6, 4], [271, 8, 4], [5, 36, 4], [271, 6, 9], [5, 6, 9], [271, 36, 4], [5, 36, 9], [271, 36, 9], [233, 20, 4], [233, 26, 4], [271, 8, 9], [2, 243, 4], [2, 242, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26222,2020-11-11 20:16:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [5, 132, 4], [271, 132, 4], [271, 6, 4], [5, 8, 4], [5, 6, 9], [271, 6, 9], [271, 132, 9], [5, 132, 9], [5, 8, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26210,2020-11-12 14:37:00,0,"[[233, 20, 4], [2, 242, 4], [214, 13, 4], [5, 13, 4], [207, 13, 4], [271, 13, 4], [233, 26, 4], [271, 6, 4], [5, 6, 4], [5, 8, 4], [5, 6, 9], [271, 6, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_27107,2020-10-09 18:28:00,0,"[[5, 6, 4], [271, 6, 4], [5, 6, 9], [271, 6, 9], [5, 8, 4], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26126,2020-08-28 03:24:00,0,"[[275, 49, 4], [233, 26, 4], [5, 163, 4], [233, 20, 4], [275, 49, 9], [5, 163, 9], [2, 242, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26175,2020-11-20 13:59:00,0,"[[2, 243, 4], [5, 6, 4], [271, 6, 4], [271, 8, 4], [5, 6, 9], [271, 36, 4], [5, 36, 4], [271, 6, 9], [233, 26, 4], [5, 36, 9], [271, 36, 9], [233, 20, 4], [271, 8, 9]]",40,"[[0, 0, 0]]","[26, 8]"
SERVER_26134,2020-09-13 11:10:00,0,"[[2, 242, 4], [5, 6, 4], [271, 6, 4], [5, 8, 4], [271, 6, 9], [271, 36, 4], [5, 6, 9], [5, 36, 4], [271, 36, 9], [5, 36, 9], [233, 26, 4], [233, 20, 4], [5, 8, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_27110,2020-07-17 12:40:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [5, 6, 4], [271, 6, 4], [271, 8, 4], [5, 6, 9], [271, 6, 9], [5, 8, 4], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26189,2020-09-18 11:50:00,0,"[[5, 8, 4], [5, 6, 4], [271, 6, 4], [2, 242, 4], [2, 243, 4]]",40,"[[77, 98, 51], [49, 98, 51], [71, 98, 51]]","[0, 0]"
SERVER_26139,2020-09-20 10:17:00,0,"[[271, 6, 4], [271, 132, 4], [5, 6, 4], [5, 132, 4], [733, 125, 4], [738, 125, 4], [736, 737, 4], [759, 737, 4], [5, 6, 9], [5, 36, 4], [5, 132, 9], [271, 6, 9], [271, 36, 4], [271, 132, 9], [736, 737, 9], [759, 737, 9], [233, 26, 4], [233, 20, 4], [733, 125, 9], [738, 125, 9], [271, 36, 9], [5, 36, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26872,2020-09-27 17:56:00,0,"[[5, 132, 4], [271, 132, 4], [271, 6, 4], [5, 6, 4], [5, 8, 4], [5, 6, 9], [5, 132, 9], [271, 6, 9], [271, 132, 9], [2, 242, 4], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26166,2020-07-31 20:32:00,0,"[[233, 26, 4], [233, 20, 4], [2, 242, 4], [271, 6, 4], [5, 6, 4], [271, 8, 4], [271, 36, 4], [271, 6, 9], [5, 8, 4], [5, 36, 4], [5, 6, 9], [271, 36, 9], [5, 36, 9], [5, 8, 9], [271, 8, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26191,2020-09-11 12:07:00,0,"[[5, 6, 4], [271, 6, 4], [271, 8, 4], [5, 6, 9], [271, 6, 9], [271, 36, 4], [5, 36, 4], [5, 36, 9], [271, 36, 9], [233, 20, 4], [233, 26, 4], [271, 8, 9], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26133,2020-09-14 18:53:00,0,"[[207, 13, 4], [214, 13, 4], [271, 13, 4], [5, 13, 4], [5, 36, 4], [271, 36, 4], [5, 36, 9]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26211,2020-10-30 16:40:00,0,"[[5, 6, 4], [271, 6, 4], [5, 8, 4], [5, 6, 9], [271, 6, 9], [2, 242, 4], [2, 243, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26143,2020-08-21 15:33:00,0,"[[2, 243, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [271, 6, 4], [5, 6, 4], [271, 8, 4], [5, 6, 9], [271, 36, 4], [5, 36, 4], [271, 6, 9], [271, 8, 9], [271, 36, 9], [5, 36, 9]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_26869,2020-10-10 11:34:00,0,"[[268, 189, 4], [312, 3, 4], [312, 3, 9], [268, 189, 9], [268, 189, 9], [233, 26, 4], [222, 22, 4], [214, 156, 4], [214, 42, 4], [207, 13, 4], [214, 13, 4]]",40,"[[0, 0, 0]]","[0, 0]"
SERVER_27086,2020-05-17 18:09:00,0,"[[374, 23, 4], [374, 95, 4], [271, 8, 4], [374, 23, 9], [374, 239, 4], [374, 239, 9], [2, 243, 4]]",33,"[[0, 0, 0]]","[0, 0]"
SERVER_26359,2020-03-23 07:35:00,0,"[[2, 243, 4], [733, 125, 4], [271, 8, 4], [5, 36, 4], [271, 36, 4], [733, 125, 9], [5, 36, 9], [271, 36, 9], [233, 26, 4], [233, 20, 4], [271, 8, 9], [2, 242, 4]]",33,"[[0, 0, 0]]","[0, 0]"
SERVER_10485,2020-06-02 17:14:00,0,"[[374, 23, 4], [374, 95, 4], [5, 8, 4], [374, 23, 9], [374, 95, 9], [374, 239, 4], [5, 8, 9], [271, 8, 9], [374, 239, 9], [2, 242, 4], [2, 243, 4]]",33,"[[0, 0, 0]]","[0, 0]"
SERVER_26367,2020-01-29 19:21:00,0,"[[733, 125, 4], [5, 36, 4], [733, 125, 9], [5, 36, 9], [233, 26, 4], [233, 20, 4], [2, 243, 4]]",33,"[[0, 0, 0]]","[0, 0]"
SERVER_10180,2020-09-14 08:50:00,0,"[[381, 23, 4], [381, 95, 4], [271, 8, 4], [389, 239, 4], [389, 23, 9], [373, 239, 4], [377, 23, 9], [371, 23, 9], [375, 23, 9], [381, 23, 9], [253, 239, 4], [271, 8, 9], [381, 95, 9], [389, 239, 9], [373, 239, 9], [371, 239, 4], [253, 239, 9], [371, 239, 9], [2, 243, 4]]",33,"[[2, 3, 4], [12, 9, 10]]","[0, 0]"
SERVER_10466,2020-10-02 09:17:00,0,"[[253, 23, 4], [253, 95, 4], [271, 8, 4], [271, 8, 9], [253, 95, 9], [253, 23, 9], [2, 243, 4]]",33,"[[2, 3, 4], [8, 9, 10]]","[0, 0]"
